external_txn_id,account,currency,amount,debit_credit,booking_date,value_date,reference,narrative
856249217200,ACC#00101,USD,46800000.00,DR,2023-05-05,2023-05-04,VOLERY 3958012666FP,TUP V85X003652181G6REAVOWED/WAMP 9
894939410305,ACC#00022,USD,-44651.00,CR,2023-05-05,2023-05-04,VOLERY 1475966607CQ,UPCLOSER ETHERIFIES GAB FEW GIRE H
322318434678,ACC#00023,USD,-1078750.00,CR,2023-05-05,2023-05-04,VOLERY 3958541666FP,TUP 588200362362966IFV /960/632852
806814449292,ACC#00016,USD,1227361.07,DR,2023-05-05,2023-05-04,VOLERY 3958704666FP,TUP V9X900365220466REAVOWED/PFC/TH
604026567580,ACC#00007,USD,-344486.59,CR,2023-05-05,2023-05-04,VOLERY 3958264666FP,TUP 55PL00362379466IFV /663 88925H
650707682294,ACC#00109,USD,54179600.00,DR,2023-05-05,2023-05-04,VOLERY 3958005666FP,TUP V848003652183S6REAVOWED/WAMP 9
984504817141,ACC#00021,USD,-30383769.84,CR,2023-05-05,2023-05-04,VOLERY 3951141666FP,TUP 51NA00362127766REAVOWED/WAMP/Y
752858482090,ACC#00023,USD,-1448100.00,CR,2023-05-05,2023-05-04,VOLERY 6646466607VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
498714833140,ACC#00033,USD,-39945.30,CR,2023-05-05,2023-05-04,VOLERY 3958429666FP,TUP 558200362297766IFV /6933/60060
874165547783,ACC#00037,USD,1000000.00,DR,2023-05-05,2023-05-04,V727528060712966 6166566607VI,
339523482397,ACC#00051,USD,-260161.20,CR,2023-05-05,2023-05-04,VOLERY 3958298666FP,TUP 245V00363283266IFV /6938/V0IB3
143622716259,ACC#00049,USD,-505563.00,CR,2023-05-05,2023-05-04,VOLERY 3958258666FP,TUP 4T3Q00368731666IFV /6960/07506
444328698947,ACC#00018,USD,-26016.12,CR,2023-05-05,2023-05-04,VOLERY 3958420666FP,TUP 551V00362290866IFV /7065/06336
406563072881,ACC#00006,USD,-2097656.20,CR,2023-05-05,2023-05-04,VOLERY 3958250666FP,TUP 4T3500368737266IFV /6938/YVQK0
330141756207,ACC#00015,USD,-170439.00,CR,2023-05-05,2023-05-04,VOLERY 3958284666FP,TUP V13T00364310366IFV /6938/PALA9
221269828869,ACC#00010,USD,-2398774.33,CR,2023-05-05,2023-05-04,VOLERY 3958597666FP,TUP 52C700364789866IFV /606/500935
714052522500,ACC#00017,USD,-147676.70,CR,2023-05-05,2023-05-04,VOLERY 3958553666FP,TUP 2Q0800364995966IFV /7065/06336
26426057663,ACC#00108,USD,46800000.00,DR,2023-05-05,2023-05-04,VOLERY 3958074666FP,TUP V857003652181C6REAVOWED/WAMP 9
128183467092,ACC#00001,USD,-501510.00,CR,2023-05-05,2023-05-04,VOLERY 0496066665MT,FREELANCER ACHOO-VAGABONDAGER DAME
721050524766,ACC#00012,USD,-38493961.42,CR,2023-05-05,2023-05-04,VOLERY 3951154666FP,TUP 52JR003623513Q6REAVOWED/WAMP/Y
918822828196,ACC#00011,USD,-11801960.64,CR,2023-05-05,2023-05-04,VOLERY 3951196666FP,TUP 52T800362439966REAVOWED/WAMP/Y
