sequence,file,row_count,declared_record_count,declared_control_total,min_booking_date,max_booking_date
1,ingest_batch_0001.csv,500,500,-1683444035.94,2022-12-22,2023-03-09
2,ingest_batch_0002.csv,500,500,2634319474.89,2023-03-09,2023-03-10
3,ingest_batch_0003.csv,500,500,-861760400.28,2023-03-10,2023-03-11
4,ingest_batch_0004.csv,500,500,-334449916.7,2023-03-11,2023-03-11
5,ingest_batch_0005.csv,500,500,-963038810.13,2023-03-11,2023-03-12
6,ingest_batch_0006.csv,500,500,-361701112.46,2023-03-12,2023-03-13
7,ingest_batch_0007.csv,500,500,1033704985.18,2023-03-13,2023-03-16
8,ingest_batch_0008.csv,500,500,-745670908.11,2023-03-16,2023-03-17
9,ingest_batch_0009.csv,500,500,-1401498212.24,2023-03-17,2023-03-18
10,ingest_batch_0010.csv,500,500,3709345703.58,2023-03-18,2023-03-20
11,ingest_batch_0011.csv,500,500,922108080.74,2023-03-20,2023-03-20
12,ingest_batch_0012.csv,500,500,5887835007.37,2023-03-20,2023-03-23
13,ingest_batch_0013.csv,500,500,1629719443.38,2023-03-23,2023-03-24
14,ingest_batch_0014.csv,500,500,-3898279555.42,2023-03-24,2023-03-25
15,ingest_batch_0015.csv,500,500,-1366689742.24,2023-03-25,2023-03-26
16,ingest_batch_0016.csv,500,500,6677300450.97,2023-03-26,2023-03-27
17,ingest_batch_0017.csv,500,500,-3487166924.32,2023-03-27,2023-03-30
18,ingest_batch_0018.csv,500,500,-1008325147.43,2023-03-30,2023-03-31
19,ingest_batch_0019.csv,500,500,-646865136.16,2023-03-31,2023-04-01
20,ingest_batch_0020.csv,500,500,-447935501.26,2023-04-01,2023-04-02
21,ingest_batch_0021.csv,500,500,172399891.14,2023-04-02,2023-04-03
22,ingest_batch_0022.csv,500,500,719217687.44,2023-04-03,2023-04-06
23,ingest_batch_0023.csv,500,500,-4947537886.53,2023-04-06,2023-04-07
24,ingest_batch_0024.csv,500,500,4719980450.6,2023-04-07,2023-04-08
25,ingest_batch_0025.csv,500,500,-5234843393.31,2023-04-08,2023-04-09
26,ingest_batch_0026.csv,500,500,1896966158.36,2023-04-09,2023-04-10
27,ingest_batch_0027.csv,500,500,2490385831.48,2023-04-10,2023-04-13
28,ingest_batch_0028.csv,500,500,212958432.86,2023-04-13,2023-04-14
29,ingest_batch_0029.csv,500,500,136951194.78,2023-04-14,2023-04-15
30,ingest_batch_0030.csv,500,500,458305544.51,2023-04-15,2023-04-16
31,ingest_batch_0031.csv,500,500,432727179.28,2023-04-16,2023-04-20
32,ingest_batch_0032.csv,500,500,7087431663.84,2023-04-20,2023-04-21
33,ingest_batch_0033.csv,500,500,-1409428133.71,2023-04-21,2023-04-23
34,ingest_batch_0034.csv,500,500,345929844.97,2023-04-23,2023-04-27
35,ingest_batch_0035.csv,500,500,-5209339954.18,2023-04-27,2023-04-28
36,ingest_batch_0036.csv,500,500,1573029012.26,2023-04-28,2023-04-29
37,ingest_batch_0037.csv,500,500,3456145072.82,2023-04-29,2023-04-30
38,ingest_batch_0038.csv,500,500,717571589.73,2023-04-30,2023-04-30
39,ingest_batch_0039.csv,500,500,5882623794.4,2023-04-30,2023-05-01
40,ingest_batch_0040.csv,500,500,-5392698353.97,2023-05-01,2023-05-04
41,ingest_batch_0041.csv,500,500,2209063620.25,2023-05-04,2023-05-05
42,ingest_batch_0042.csv,500,500,2090208473.58,2023-05-05,2023-05-06
43,ingest_batch_0043.csv,500,500,-5486173328.96,2023-05-06,2023-05-07
44,ingest_batch_0044.csv,500,500,5342032651.97,2023-05-07,2023-05-07
45,ingest_batch_0045.csv,500,500,2830852834.88,2023-05-07,2023-05-08
46,ingest_batch_0046.csv,500,500,-3237845333.5,2023-05-08,2023-05-12
47,ingest_batch_0047.csv,500,500,-2056715215.13,2023-05-12,2023-05-13
48,ingest_batch_0048.csv,500,500,-76999859.43,2023-05-13,2023-05-13
49,ingest_batch_0049.csv,500,500,-1099758077.67,2023-05-13,2023-05-14
50,ingest_batch_0050.csv,500,500,732901326.48,2023-05-14,2023-05-15
51,ingest_batch_0051.csv,500,500,-5495219536.29,2023-05-15,2023-05-18
52,ingest_batch_0052.csv,500,500,-2509592849.97,2023-05-18,2023-05-19
53,ingest_batch_0053.csv,500,500,1694540669.72,2023-05-19,2023-05-20
54,ingest_batch_0054.csv,500,500,-6270882822.02,2023-05-20,2023-05-20
55,ingest_batch_0055.csv,500,500,1287667879.95,2023-05-20,2023-05-21
56,ingest_batch_0056.csv,500,500,3523971077.66,2023-05-21,2023-05-22
57,ingest_batch_0057.csv,500,500,1284979807.31,2023-05-22,2023-05-25
58,ingest_batch_0058.csv,500,500,2584883381.31,2023-05-25,2023-05-25
59,ingest_batch_0059.csv,500,500,-70527473.17,2023-05-25,2023-05-26
60,ingest_batch_0060.csv,500,500,-3951407696.12,2023-05-26,2023-05-27
61,ingest_batch_0061.csv,500,500,3842895612.25,2023-05-27,2023-05-28
62,ingest_batch_0062.csv,500,500,-501222342.87,2023-05-28,2023-08-24
63,ingest_batch_0063.csv,500,500,-1099351278.57,2023-08-24,2023-08-24
64,ingest_batch_0064.csv,500,500,528104092.78,2023-08-24,2023-08-25
65,ingest_batch_0065.csv,48,48,-50533964.25,2023-08-25,2023-08-25
