external_txn_id,account,currency,amount,debit_credit,booking_date,value_date,reference,narrative
887302678236,ACC#00001,USD,-54179652.30,CR,2023-05-08,2023-05-07,VOLERY 4608059666FP,TUP 5916003000596Y6REAVOWED/WAMP/Y
971980635823,ACC#00001,USD,6593.47,DR,2023-05-08,2023-05-07,32566DBL3Y 7257566603VI,
97343971083,ACC#00001,USD,-20694005.56,CR,2023-05-08,2023-05-07,VOLERY 4603901666FP,TUP 55C800306832766IFV /992/YJBJ 3
660654619778,ACC#00001,USD,4000000.00,DR,2023-05-08,2023-05-07,V798884860314847 7319566603VI,
640629830936,ACC#00001,USD,-5633.80,CR,2023-05-08,2023-05-07,322746AL68156033 6466066608VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
129429618653,ACC#00001,USD,-1236766.60,CR,2023-05-08,2023-05-07,VOLERY 4603527666FP,TUP 26V000369062866IFV /052/Y.M.P.
196187697473,ACC#00001,USD,215642.12,DR,2023-05-08,2023-05-07,VOLERY 4601854666FP,TUP 592C00369758166IFV /06/977484C
519532336622,ACC#00001,USD,1017510.00,DR,2023-05-08,2023-05-07,VOLERY 4603164666FP,TUP 00Q9200307188666REAVOWED/WAMP
777299985181,ACC#00001,USD,-4576245.67,CR,2023-05-08,2023-05-07,V794492860130774 7677966603VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
505423492230,ACC#00001,USD,-44587000.00,CR,2023-05-08,2023-05-07,VOLERY 4603589666FP,TUP 0348800369059566IFV /8502/OHMS
974059160645,ACC#00001,USD,-31526.80,CR,2023-05-08,2023-05-07,VOLERY 4603532666FP,TUP 26C900365927866IFV /052/Y.M.P.
961356497093,ACC#00001,USD,-660000.00,CR,2023-05-08,2023-05-07,322756AL61328787 6399166608VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
290760981131,ACC#00001,USD,12967.00,DR,2023-05-08,2023-05-07,VOLERY 4601829666FP,TUP 597200369758466IFV /938/BARD16
656581262765,ACC#00001,USD,54248000.00,DR,2023-05-08,2023-05-07,VOLERY 4603770666FP,TUP 0035T003071162N6REAVOWED/WAMP
63302219839,ACC#00001,USD,-4367149.84,CR,2023-05-08,2023-05-07,VOLERY 4608738666FP,TUP 5958003000960LIBATIONER/WAMP/Y
768594941378,ACC#00001,USD,-596177.05,CR,2023-05-08,2023-05-07,VOLERY 4603520666FP,TUP 26OL00369653466IFV /052/Y.M.P.
569333615208,ACC#00001,USD,-54179652.30,CR,2023-05-08,2023-05-07,VOLERY 4608090666FP,TUP 5917003000596U6REAVOWED/WAMP/Y
708815797450,ACC#00001,USD,54248000.00,DR,2023-05-08,2023-05-07,VOLERY 4603779666FP,TUP 00394003071162F6REAVOWED/WAMP
963311319820,ACC#00001,USD,-54179652.30,CR,2023-05-08,2023-05-07,VOLERY 4608092666FP,TUP 5915003000596P6REAVOWED/WAMP/Y
491174794481,ACC#00001,USD,-8546713.01,CR,2023-05-08,2023-05-07,VOLERY 4608756666FP,TUP 26T000369664666REAVOWED/WAMP/Y
279098423193,ACC#00001,USD,-2000.00,CR,2023-05-08,2023-05-07,I79VVBB777771 6378066608FS,UPCLOSER SAUNT TYPY TANTUM TANTUM
860185672804,ACC#00001,USD,-2756510.00,CR,2023-05-08,2023-05-07,V798396960181507 7607166603VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
858255558491,ACC#00001,USD,-47609290.00,CR,2023-05-08,2023-05-07,VOLERY 4608023666FP,TUP 2XD6003066012Q6REAVOWED/WAMP/Y
26286586419,ACC#00001,USD,9559.70,DR,2023-05-08,2023-05-07,VOLERY 4601826666FP,TUP 2WT000306810066IFV /052/666066
856235221154,ACC#00001,USD,45768000.00,DR,2023-05-08,2023-05-07,VOLERY 4603725666FP,TUP 0046X003071173X6REAVOWED/WAMP
805707620293,ACC#00001,USD,4000000.00,DR,2023-05-08,2023-05-07,V798212260314847 7386666603VI,
