internal_txn_id,account,currency,amount,debit_credit,txn_date,value_date,allocation,reference,narrative,status
954216174866,ACC#00001,USD,-469678.71,DR,2023-03-11,2023-03-08,USD_2023-03-08_ACC#00001_66912     0250702507150580 67666                SEMSEM ODONTOLOGY AZ,RM150580  67666 UPCLOSER SAUNT TYPY H.C.,66912     0250702507150580 67666                SEMSEM ODONTOLOGY AZ,unmatched
629005802133,ACC#00001,USD,-270000.00,DR,2023-04-14,2023-04-13,USD_2023-04-13_ACC#00001_66912     0147601476895644141476                MORIBUND ROTENONES S SMILAX   BOLL      00895644141476                MORIBUND ZYGNEMA SK HYRACIFORM,008956441 41476 TSURIS ANOETIC HACKLEBACK,66912     0147601476895644141476                MORIBUND ROTENONES S SMILAX   BOLL      00895644141476                MORIBUND ZYGNEMA SK HYRACIFORM,unmatched
960362883649,ACC#00001,USD,-218506.40,DR,2023-05-18,2023-05-17,USD_2023-05-17_ACC#00001_66912     0603706037303720067050JADE343         MORIBUND VEXES WHUFF SMILAX   BOLL      00303720067050JADE343         MORIBUND VEXES S FOMALHAUT,003037200 67050 JADE343                                                                         SAUNT MAZA MICRODONTY,66912     0603706037303720067050JADE343         MORIBUND VEXES WHUFF SMILAX   BOLL      00303720067050JADE343         MORIBUND VEXES S FOMALHAUT,unmatched
628264875303,ACC#00001,USD,882350.64,CR,2023-04-14,2023-04-13,USD_2023-04-13_ACC#00001_66912     0147601476895179641476                OFF TMH DIP WOLD SMILAX   BOLL      00895179641476                OFF TMH DIP WOLD,008951796 41476 L9IC650                                                                 BISERIAL TYPY,66912     0147601476895179641476                OFF TMH DIP WOLD SMILAX   BOLL      00895179641476                OFF TMH DIP WOLD,unmatched
141462986131,ACC#00001,USD,-3152611498.00,DR,2023-04-16,2023-04-15,USD_2023-04-15_ACC#00001_66912     6682866828SHAMESICK FROM JAUN UNFED   JOQVY OBS VGL RC SMILAX   FGGQQ     PHOTOACTIVE FROM JAUN UNFED   JOQVY OBS VGL RC               029666108077701466,6666666666290125 JOQVY OBS VGL RC,66912     6682866828SHAMESICK FROM JAUN UNFED   JOQVY OBS VGL RC SMILAX   FGGQQ     PHOTOACTIVE FROM JAUN UNFED   JOQVY OBS VGL RC               029666108077701466,unmatched
116114127149,ACC#00001,USD,24094043.15,CR,2023-05-19,2023-05-18,USD_2023-05-18_ACC#00001_66912     0141601416309365041416NAUT086         IF TMH SEE FAMES SMILAX   BOLL      00309365041416NAUT086         IF TMH SEE FAMES,003093650 41416 NAUT086 L9K85TK                                                                 UPCLOSER MONOCOQUE GAB -,66912     0141601416309365041416NAUT086         IF TMH SEE FAMES SMILAX   BOLL      00309365041416NAUT086         IF TMH SEE FAMES,unmatched
60382040060,ACC#00001,USD,-60851.95,DR,2023-05-18,2023-05-12,USD_2023-05-12_ACC#00001_66912     0250702507195194 67666                SEMSEM ODONTOLOGY AZ,RM195194  67666 UPCLOSER SAUNT TYPY H.C.,66912     0250702507195194 67666                SEMSEM ODONTOLOGY AZ,unmatched
615126026427,ACC#00001,USD,1175049.11,CR,2023-05-05,2023-05-03,USD_2023-05-03_ACC#00001_66912     0147601476362299541476                OFF TMH ENQUIRE WOLD SMILAX   BOLL      00362299541476                OFF TMH ENQUIRE  WOLD,003622995 41476 L9K69EG                                                                 NUNHOOD ASSUMER AIRY WF,66912     0147601476362299541476                OFF TMH ENQUIRE WOLD SMILAX   BOLL      00362299541476                OFF TMH ENQUIRE  WOLD,unmatched
221212112855,ACC#00001,USD,2366473.45,CR,2023-05-07,2023-05-06,USD_2023-05-06_ACC#00001_66912     0676506765362618315510OKET222         MORIBUND ROTENONES S SMILAX   BOLL      00362618315510OKET222         MORIBUND ZYGNEMA SK HYRACIFORM,003626183 15510 OKET222                                                                         MFT-EMEU MICRODONTY UNTAX,66912     0676506765362618315510OKET222         MORIBUND ROTENONES S SMILAX   BOLL      00362618315510OKET222         MORIBUND ZYGNEMA SK HYRACIFORM,unmatched
485130173092,ACC#00001,USD,-56489511.20,DR,2023-04-30,2023-04-29,USD_2023-04-29_ACC#00001_66912     0147701477363407541477OKET966         IF TMH TIRO FAMES SMILAX   BOLL      00363407541477OKET966         IF TMH TIRO EMEU S,003634075 41477 OKET966 L9K05FR                                                                 JOQGE ZUCCHINIS ZYRENIAN,66912     0147701477363407541477OKET966         IF TMH TIRO FAMES SMILAX   BOLL      00363407541477OKET966         IF TMH TIRO EMEU S,unmatched
