external_txn_id,account,currency,amount,debit_credit,booking_date,value_date,reference,narrative
402684574681,ACC#00041,USD,-43726197.98,CR,2023-03-09,2023-03-08,VOLERY 3465277666FP,TUP 2163008208655K6REAVOWED/WAMP/Y
728497091087,ACC#00015,USD,55115500.00,DR,2023-03-09,2023-03-08,VOLERY 3469982666FP,TUP 0651V008278552C6REAVOWED/WAMP
323557820490,ACC#00014,USD,399536.40,DR,2023-03-09,2023-03-08,VOLERY 3465368666FP,TUP 33FP00845514266IFV /052/666666
324699940050,ACC#00014,USD,47772.30,DR,2023-03-09,2023-03-08,VOLERY 3465309666FP,TUP 335Q00845285466IFV /965/693285
416063542467,ACC#00015,USD,-2628160.00,CR,2023-03-09,2023-03-08,VOLERY 3406836666FP,TUP 979800849768966IFV /881/252660
161586197445,ACC#00048,USD,-43726197.98,CR,2023-03-09,2023-03-08,VOLERY 3465274666FP,TUP 2169008208655P6REAVOWED/WAMP/Y
925668140808,ACC#00003,USD,2182400.00,DR,2023-03-09,2023-03-08,VOLERY 3406667666FP,TUP 069C500827372966REAVOWED/WAMP
638705651545,ACC#00025,USD,3517222.29,DR,2023-03-09,2023-03-08,V477079220423287 5745966176VI,
21216777122,ACC#00101,USD,-50541522.90,CR,2023-03-09,2023-03-08,VOLERY 3465420666FP,TUP 27MH008208644F6REAVOWED/WAMP/Y
829957468952,ACC#00010,USD,-49100821.15,CR,2023-03-09,2023-03-08,VOLERY 3465223666FP,TUP 3308008457591X6REAVOWED/WAMP/Y
563132765693,ACC#00017,USD,-45544.62,CR,2023-03-09,2023-03-08,6974566600968376 8865666102VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
771455673138,ACC#00067,USD,43726100.00,DR,2023-03-09,2023-03-08,VOLERY 3469984666FP,TUP 06516008278550P6REAVOWED/WAMP
971194577173,ACC#00017,USD,23405257.00,DR,2023-03-09,2023-03-08,IYO9126666165590 2528166176VI,
394559162452,ACC#00005,USD,3599.90,DR,2023-03-09,2023-03-08,RM156166-767-660 4962966176VI,
710707882756,ACC#00001,USD,-103728.30,CR,2023-03-09,2023-03-08,NAR2666677716143 8319566102VI,UPCLOSER SAUNT TYPY  TOWNY TOWNY K
33961876510,ACC#00008,USD,38263.93,DR,2023-03-09,2023-03-08,VOLERY 3465375666FP,TUP 4C8C00826279266IFV /052/666666
108047819784,ACC#00005,USD,6339756.22,DR,2023-03-09,2023-03-08,V357300210418939 4885266176VI,
571166378887,ACC#00017,USD,448615.82,DR,2023-03-09,2023-03-08,VOLERY 3406603666FP,TUP 38RN00845070466SPASMOUS CAWL/I
31360508230,ACC#00006,USD,611673.02,DR,2023-03-09,2023-03-08,VOLERY 3469580666FP,TUP 338300845820166REAVOWED/TEAD/C
991371280049,ACC#00024,USD,-50599384.36,CR,2023-03-09,2023-03-08,VOLERY 3465489666FP,TUP 4C03008264592C6REAVOWED/WAMP/Y
833947869198,ACC#00005,USD,50542100.00,DR,2023-03-09,2023-03-08,VOLERY 3469903666FP,TUP 062Q6008278546EURODOLLAR/WAMP
325416252602,ACC#00012,USD,50542100.00,DR,2023-03-09,2023-03-08,VOLERY 3469978666FP,TUP 062Q9008278546GALEORCHIS/WAMP
839247753114,ACC#00031,USD,-10000000.00,CR,2023-03-09,2023-03-08,V764868860713583 4894966176VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
249669149883,ACC#00022,USD,34094000.00,DR,2023-03-09,2023-03-08,VOLERY 3469999666FP,TUP 0658500827855966REAVOWED/WAMP
24113121707,ACC#00008,USD,-400000.00,CR,2023-03-09,2023-03-08,V770722660131818 4314666176VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
761557342641,ACC#00024,USD,-691.13,CR,2023-03-09,2023-03-08,VOLERY 3465355666FP,TUP V61T66666666666REAVOWED/TH3/VT
318262888361,ACC#00006,USD,-71890.03,CR,2023-03-09,2023-03-08,VIP9126666165524 9816366176FW,UNPARTOOK TYPY MENT Q-0706 ERICIUS
519404114873,ACC#00007,USD,3202186.13,DR,2023-03-09,2023-03-08,VOLERY 3469531666FP,TUP 201T00820623566REAVOWED/WAMP 9
690852775225,ACC#00010,USD,-4100000.00,CR,2023-03-09,2023-03-08,VOLERY 8707766176CQ,BAHUT WITCH AIRY U M FEW GIRE DP 0
244068006320,ACC#00024,USD,3074200.00,DR,2023-03-09,2023-03-08,VOLERY 3465383666FP,TUP 49T300849764766IFV /052/666666
417442704657,ACC#00014,USD,-543720.00,CR,2023-03-09,2023-03-08,VOLERY 3406882666FP,TUP 970T00845731666IFV /967/LX2313
836467402714,ACC#00074,USD,43726100.00,DR,2023-03-09,2023-03-08,VOLERY 3469980666FP,TUP 0657Q008278550K6REAVOWED/WAMP
352646532641,ACC#00055,USD,-43726197.98,CR,2023-03-09,2023-03-08,VOLERY 3465272666FP,TUP 216C008208655H6REAVOWED/WAMP/Y
456199975598,ACC#00009,USD,5087770.00,DR,2023-03-09,2023-03-08,VOLERY 3406661666FP,TUP 069PL00827307566REAVOWED/WAMP
615682130819,ACC#00017,USD,158468.63,DR,2023-03-09,2023-03-08,VOLERY 3465369666FP,TUP 33X700845589066IFV /7449/02730
407250312656,ACC#00016,USD,55985589.14,DR,2023-03-09,2023-03-08,V774277760413943 4334666176VI,
293210435526,ACC#00022,USD,68228.22,DR,2023-03-09,2023-03-08,VOLERY 3465305666FP,TUP 335900845286366IFV /052/666666
871398201241,ACC#00019,USD,50542100.00,DR,2023-03-09,2023-03-08,VOLERY 3469900666FP,TUP 062PL008278546B6REAVOWED/WAMP
226036217062,ACC#00062,USD,-43726197.98,CR,2023-03-09,2023-03-08,VOLERY 3465202666FP,TUP 2166008208655X6REAVOWED/WAMP/Y
714968686166,ACC#00012,USD,119414.41,DR,2023-03-09,2023-03-08,VOLERY 3465389666FP,TUP 4C7400826209666IFV /052/666666
574161260202,ACC#00023,USD,4612688.51,DR,2023-03-09,2023-03-08,VOLERY 3469553666FP,TUP 236800820533366HAFIZ VC LES/EC
4159817107,ACC#00025,USD,-668644.39,CR,2023-03-09,2023-03-08,VOLERY 3465459666FP,TUP 277200820098766REAVOWED/WAMP/Y
374365421241,ACC#00031,USD,-3074200.00,CR,2023-03-09,2023-03-08,VOLERY 3406838666FP,TUP DYNE00849332366IFV /606/351773
283004621639,ACC#00010,USD,-1744261.73,CR,2023-03-09,2023-03-08,VOLERY 3465482666FP,TUP 200X00820604366REAVOWED/WAMP/N
43690797814,ACC#00007,USD,-158131.37,CR,2023-03-09,2023-03-08,VOLERY 3406804666FP,TUP 33C000845578166IFV /052/Y.M.P.
937411759920,ACC#00063,USD,54179600.00,DR,2023-03-09,2023-03-08,VOLERY 3469940666FP,TUP 0622V008278542Q6REAVOWED/WAMP
750748196464,ACC#00012,USD,174000.00,DR,2023-03-09,2023-03-08,32566OT6HH 8370666102VI,
912062414279,ACC#00010,USD,55122.80,DR,2023-03-09,2023-03-08,VOLERY 3465316666FP,TUP 4C8V00826216866IFV /052/666666
346620516891,ACC#00026,USD,50542100.00,DR,2023-03-09,2023-03-08,VOLERY 3469976666FP,TUP 062Q3008278546SPIDERLESS/WAMP
448285106359,ACC#00014,USD,1023019.98,DR,2023-03-09,2023-03-08,VOLERY 3465354666FP,TUP 331300845184666IFV /137/666690
355026148998,ACC#00108,USD,-50541522.90,CR,2023-03-09,2023-03-08,VOLERY 3465440666FP,TUP 27X6008208644C6REAVOWED/WAMP/Y
719228747128,ACC#00023,USD,50602725.10,DR,2023-03-09,2023-03-08,VOLERY 3469967666FP,TUP C81Q008277672C6REAVOWED/WAMP 9
238706229549,ACC#00007,USD,-1589786.73,CR,2023-03-09,2023-03-08,VOLERY 3406834666FP,TUP 316100842300566IFV /967/M13340
505568048474,ACC#00115,USD,-50541522.90,CR,2023-03-09,2023-03-08,VOLERY 3465457666FP,TUP 27T3008208644SPIDERLESS/WAMP/Y
747642368913,ACC#00122,USD,-50541522.90,CR,2023-03-09,2023-03-08,VOLERY 3465458666FP,TUP 27T2008208644EURODOLLAR/WAMP/Y
452755275887,ACC#00004,USD,7923397.36,DR,2023-03-09,2023-03-08,VOLERY 3469588666FP,TUP 268200826501966REAVOWED/WAMP 9
105573888794,ACC#00006,USD,6771.60,DR,2023-03-09,2023-03-08,VOLERY 3465348666FP,TUP 279700820156566IFV /052/666666
988836804261,ACC#00024,USD,-39835293.75,CR,2023-03-09,2023-03-08,VOLERY 3465226666FP,TUP 336C008457478Q6REAVOWED/WAMP/Y
950018973900,ACC#00081,USD,43726100.00,DR,2023-03-09,2023-03-08,VOLERY 3469988666FP,TUP 0657T008278550U6REAVOWED/WAMP
210991959907,ACC#00024,USD,60054272.25,DR,2023-03-09,2023-03-08,VOLERY 3469555666FP,TUP 27V9008208654Q6REAVOWED/WAMP 9
717530527442,ACC#00061,USD,-50544034.73,CR,2023-03-09,2023-03-08,VOLERY 3465245666FP,TUP 336C008457114V6REAVOWED/WAMP/Y
615639364099,ACC#00001,USD,23615.02,DR,2023-03-09,2023-03-08,VOLERY 3465385666FP,TUP 4C7300826202366IFV /052/666666
468310289510,ACC#00005,USD,65845.04,DR,2023-03-09,2023-03-08,VOLERY 3465379666FP,TUP 4C8Q00826279966IFV /052/666666
826012070955,ACC#00006,USD,303527.30,DR,2023-03-09,2023-03-08,32566RANRH 8309866102VI,
496552113114,ACC#00010,USD,218750.90,DR,2023-03-09,2023-03-08,VOLERY 3465317666FP,TUP 4C3100826216066IFV /052/666666
143094758474,ACC#00016,USD,1743987.80,DR,2023-03-09,2023-03-08,VOLERY 3469587666FP,TUP 261000826564066REAVOWED/WAMP 9
502523357857,ACC#00026,USD,-16916711.36,CR,2023-03-09,2023-03-08,6974566630752288 8887666102VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
399615357706,ACC#00033,USD,50542100.00,DR,2023-03-09,2023-03-08,VOLERY 3469930666FP,TUP 0624X008278548X6REAVOWED/WAMP
364182008176,ACC#00040,USD,34269504.10,DR,2023-03-09,2023-03-08,VOLERY 3469543666FP,TUP 270C008200444C6REAVOWED/WAMP 9
784215569134,ACC#00005,USD,-3854.51,CR,2023-03-09,2023-03-08,6900046766813 8092166176FW,BYG AVIARY SCARLET TURNABOUTS PIKI
446002507386,ACC#00070,USD,54179600.00,DR,2023-03-09,2023-03-08,VOLERY 3469948666FP,TUP 06258008278542X6REAVOWED/WAMP
176160455228,ACC#00005,USD,32022.55,DR,2023-03-09,2023-03-08,VOLERY 3465311666FP,TUP 4C3800826216466IFV /052/666666
316887912779,ACC#00014,USD,188103950.60,DR,2023-03-09,2023-03-08,V258589400418935 4882966176VI,
805329763185,ACC#00004,USD,4486941.28,DR,2023-03-09,2023-03-08,VOLERY 3465363666FP,TUP 33C100845519466IFV /052/666666
575815058392,ACC#00033,USD,-58755819.57,CR,2023-03-09,2023-03-08,VOLERY 3465479666FP,TUP 7544008389093V6REAVOWED/WAMP/Y
865828464471,ACC#00019,USD,-174000.00,CR,2023-03-09,2023-03-08,BACKFIRING 4526766176VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
39690731362,ACC#00077,USD,54179600.00,DR,2023-03-09,2023-03-08,VOLERY 3469945666FP,TUP 06259008278542Z6REAVOWED/WAMP
347693546436,ACC#00084,USD,54179600.00,DR,2023-03-09,2023-03-08,VOLERY 3469943666FP,TUP 06254008278542V6REAVOWED/WAMP
758563309143,ACC#00091,USD,54179600.00,DR,2023-03-09,2023-03-08,VOLERY 3469924666FP,TUP 06290008278542G6REAVOWED/WAMP
584281748148,ACC#00005,USD,-75877879.00,CR,2023-03-09,2023-03-08,IYO9126666165598 5140766176VI,JO TONITE OBS EFI KURUNG ORARY DOW
751389518800,ACC#00007,USD,777859.08,DR,2023-03-09,2023-03-08,VOLERY 3465384666FP,TUP 4C6900826860066IFV /992/39Q5/6
273171574395,ACC#00040,USD,-58755819.57,CR,2023-03-09,2023-03-08,VOLERY 3465473666FP,TUP 7547008389093E6REAVOWED/WAMP/Y
281826124405,ACC#00022,USD,46192.48,DR,2023-03-09,2023-03-08,32566RTVT8 4452066176VI,
112233015754,ACC#00047,USD,-58755819.57,CR,2023-03-09,2023-03-08,VOLERY 3465416666FP,TUP 7542008389093Z6REAVOWED/WAMP/Y
